KPIs,Zip,No_of_Art_Projects, Perc_Unemployment_2010 ,No_Educated_High_School_2010,Per_Capita_Household_Income_2010, Perc_Unemployment_2014 ,No_Educated_High_School_2015,Per_Capita_Household_Income_2015,No_of_Artists_Projects, Perc_Unemployment_2011 , Perc_Unemployment_2012 , Perc_Unemployment_2013 , Perc_Unemployment_2015 , Perc_Unemployment_2016 ,No_Employment_in_Arts_n_Entertainment_2010,No_Employment_in_Arts_n_Entertainment_2011,No_Employment_in_Arts_n_Entertainment_2012,No_Employment_in_Arts_n_Entertainment_2013,No_Employment_in_Arts_n_Entertainment_2014,No_Employment_in_Arts_n_Entertainment_2015,No_Employment_in_Arts_n_Entertainment_2016,No_Educated_High_School_2000,No_Educated_High_School_2011,No_Educated_High_School_2012,No_Educated_High_School_2013,No_Educated_High_School_2014,No_Educated_High_School_2016,No_Unemployed_2010,No_Unemployed_2011,No_Unemployed_2012,No_Unemployed_2013,No_Unemployed_2014,No_Unemployed_2015,No_Unemployed_2016,Population_2010,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Population_2016,Total_Household_Income_2000,Total_Household_Income_2010,Total_Household_Income_2011,Total_Household_Income_2012,Total_Household_Income_2013,Total_Household_Income_2014,Total_Household_Income_2015,Total_Household_Income_2016,Per_Capita_Household_Income_2000,Per_Capita_Household_Income_2011,Per_Capita_Household_Income_2012,Per_Capita_Household_Income_2013,Per_Capita_Household_Income_2014
,91331,4,0.09,13838,13669,0.15,15689,15089,1,0.09,0.12,0.13,0.07,0.06,873,878,907,1018,927,910,942,8872,13781,13776,14397,14881,15714,4342,4469,5908,6656,7490,3250,2907,106399,101924,105543,108843,108426,109970,108506,1052380081,1392714790,1386960607,1510216345,1606321225,1577084126,1646672255,1564071583,10818,13608,14309,14927,14666
,91335,5,0.07,12811,21530,0.12,12285,24580,,0.07,0.1,0.11,0.07,0.06,735,738,717,912,797,781,829,9720,12708,10936,10896,11719,12349,2491,2555,3908,4428,4518,2479,2228,72306,72432,70795,73847,73572,74594,73846,1115848650,1560718747,1562384531,1594465705,1704686963,1696864225,1777105795,1779140240,16536,21570,22522,24007,23794
,91340,1,0.11,4871,14639,0.14,4899,18452,,0.11,0.13,0.14,0.07,0.06,243,242,184,291,304,298,311,3351,4849,5072,4659,4652,4978,1784,1830,2328,2271,2209,1043,947,32365,33275,34541,33445,32977,33586,33492,365972520,487406863,485042252,542044535,579678229,584536204,609795445,601484024,10979,14577,15693,17597,18009
,91342,2,0.07,13512,19876,0.13,14048,22690,,0.07,0.1,0.12,0.07,0.06,741,740,675,920,944,921,980,10331,13429,12411,12750,13406,14271,3184,3264,4633,5590,5877,2955,2674,93203,91957,89803,93954,95294,96187,95734,1255600425,1829564338,1824820686,1880621987,2025962564,2036477233,2112539927,2096643225,15076,19844,20942,22403,22200
,91343,3,0.07,7539,20141,0.13,7268,23772,,0.07,0.09,0.12,0.07,0.06,461,462,540,615,518,504,544,6295,7478,6791,6915,6919,7426,1995,2047,2702,3715,4169,1982,1806,59614,59180,60570,60986,60642,61436,61660,868041081,1191392611,1194854533,1273526584,1358640378,1359852219,1424626243,1450799890,15567,20190,21026,22865,22998
,91344,1,0.07,7955,32575,0.12,8599,36653,,0.08,0.1,0.12,0.07,0.06,472,472,412,480,646,615,652,6786,7872,7648,8184,8183,8806,1956,2004,2829,3191,3322,1794,1635,52368,50262,51605,53236,53277,54082,54436,1246682349,1637364411,1642131710,1730505286,1817717287,1873681275,1950403034,2055767606,26131,32671,33534,34690,35577
,91345,4,0.08,3583,21959,0.1,3405,24686,,0.08,0.09,0.1,0.07,0.06,182,183,151,205,128,122,131,2958,3579,3439,3261,3238,3331,751,773,827,1004,898,605,533,18669,18528,19083,19051,19006,19304,18540,318720425,405576470,406503565,465951875,472056167,449152289,467448455,453065445,17555,21940,24417,25308,24008
,91352,7,0.08,7083,16105,0.15,7822,19561,,0.08,0.11,0.13,0.07,0.06,361,361,201,278,287,288,308,4970,7067,6383,7063,7339,7932,1813,1866,2455,3056,3603,1524,1374,47367,46516,45394,48565,48303,49526,49085,602398978,748548667,747671525,738402730,914317792,911652426,955329143,951717125,13396,16073,16267,19268,19234
,91356,2,0.06,3763,42779,0.1,3301,47323,,0.07,0.1,0.1,0.07,0.06,700,703,631,577,551,533,536,3317,3699,3308,3138,3129,3159,918,937,1383,1428,1543,950,815,28300,26424,26094,28693,28718,29276,27822,1070387621,1134758885,1129976290,1204338862,1355192037,1317960696,1370563195,1419328926,37563,42763,46154,47780,46398
,91364,0,0.05,2709,54233,0.1,3034,54175,,0.05,0.08,0.1,0.07,0.06,680,679,667,683,686,658,693,2660,2660,2068,2565,2891,3105,749,766,1196,1402,1314,884,806,25317,26750,25706,25808,25743,26120,26221,1107758216,1456580136,1453812855,1461612991,1390755832,1361060849,1407006027,1502490798,43642,54348,56859,54354,53117
,91367,5,0.05,4577,42709,0.08,3660,49070,,0.06,0.08,0.08,0.07,0.06,887,897,818,873,851,802,838,4259,4505,3832,3915,3506,3731,1155,1186,1668,1719,1708,1374,1239,37930,38091,38656,38756,38752,39219,39139,1258952017,1627782147,1631635526,1710231551,1827365872,1845965633,1916503785,2028095094,34874,42835,44242,47435,47833
,91401,1,0.07,6045,28865,0.13,5475,30501,,0.07,0.1,0.12,0.07,0.06,993,992,963,998,932,915,969,4685,5978,5421,5703,5223,5553,1517,1552,2237,2633,2857,1468,1329,39238,37833,38935,39887,39932,40613,40491,748864183,1092931014,1094005124,1142184709,1150496144,1172477813,1225393426,1264969203,18881,28917,29336,29456,29687
,91402,5,0.09,9952,14197,0.16,9624,14920,,0.09,0.12,0.15,0.07,0.06,566,569,419,267,246,236,253,6334,9904,9445,8924,9202,9686,3051,3129,4272,5118,5471,2174,1954,68099,68389,70052,68815,69700,70167,69480,727724741,970996800,973707392,1029054867,1000792220,987100586,1032592763,999166593,11039,14238,14690,14779,14365
,91403,1,0.06,2552,51542,0.08,1947,62357,,0.06,0.06,0.07,0.07,0.06,860,857,715,766,711,661,682,2470,2507,2150,2075,1878,1947,849,869,954,1081,1156,905,798,21815,23334,23429,22672,22374,22455,21833,1000399551,1204686762,1205794761,1327947917,1361058897,1353429074,1398790867,1468164778,43989,51675,56680,60092,60528
,91405,3,0.08,8988,17762,0.14,9163,20718,,0.09,0.12,0.13,0.07,0.06,681,684,840,1012,843,814,868,5666,8899,9397,8779,8779,9336,2245,2299,3779,3988,4248,1952,1773,57047,51566,58384,57575,58311,58926,58925,680765543,917332574,915891787,1112773761,1181438731,1149582142,1177967439,1184563485,13299,17762,19060,21327,20440
,91406,3,0.06,8923,21813,0.12,7924,25599,1,0.07,0.09,0.11,0.07,0.06,596,600,508,660,748,726,755,6053,8877,7774,7639,7537,7929,1717,1767,2288,2751,2939,1647,1472,48227,51406,48620,49147,49007,49956,48814,822435317,1119167769,1121258386,1194344799,1247576510,1213249058,1266590035,1278250846,16250,21812,24565,25614,25011
,91411,2,0.07,3647,25861,0.13,2640,30052,,0.08,0.11,0.11,0.07,0.06,627,627,661,751,648,624,665,3016,3597,2843,2664,2516,2667,1048,1071,1637,1539,1840,897,814,23195,23705,24559,23735,23553,23916,23831,409065823,615102544,614732480,713532154,696250357,680835789,711889358,731417372,17796,25933,29054,29593,29174
,91423,3,0.07,3267,49254,0.12,2477,60418,,0.07,0.1,0.11,0.07,0.06,1436,1438,1475,1615,1407,1351,1436,3043,3212,2461,2412,2404,2566,1325,1349,1827,2083,2312,1220,1117,29216,30185,29900,29930,29920,29972,30444,1159411090,1488406094,1488561795,1728152575,1732078434,1752254848,1800005138,1941719365,40793,49315,57798,58298,58900
,91436,1,0.04,944,62464,0.08,1048,71768,,0.04,0.07,0.06,0.07,0.06,355,363,350,314,326,304,319,1254,936,901,961,1003,1060,282,287,446,464,625,484,436,14715,14164,14402,14776,15115,15248,15150,792035111,878301230,884804372,1058409287,1064814128,1062116288,1091874239,1177889902,59664,62469,73490,72186,70419
,91601,3,0.08,4986,27077,0.14,4491,33507,,0.08,0.12,0.13,0.07,0.06,1551,1549,1430,1757,1724,1628,1721,4399,4936,4378,4077,4346,4606,1910,1955,2873,3160,3430,1509,1373,37416,36231,37966,38151,38182,37860,38031,617207146,984615651,982082390,1133039920,1186719888,1244104285,1261594250,1286681088,16812,27106,29844,31341,32803
,91602,0,0.1,1934,49211,0.15,1681,57679,2,0.1,0.12,0.16,0.07,0.06,1003,1002,1147,1528,1325,1298,1386,1764,1898,1890,1855,1629,1743,1150,1175,1489,1979,1991,812,745,17691,16875,17114,17985,18175,18237,18425,609803518,831465860,831603834,897973299,949743849,1017756921,1051399502,1116475804,36748,49280,52470,52832,56023
,91604,4,0.07,2612,55996,0.13,2477,70639,,0.07,0.11,0.12,0.07,0.06,1503,1508,1735,2179,1903,1852,1897,2615,2564,2073,2195,2377,2449,1214,1237,1880,2203,2432,1177,1054,27614,27439,27671,28331,28272,28493,28056,1278825745,1538486100,1538935750,1843264748,1895284631,1936737327,1991396759,2081076097,48945,56086,66614,67758,68946
,91605,2,0.1,7928,15891,0.15,7700,18689,,0.1,0.14,0.15,0.07,0.06,568,571,593,713,593,578,614,6173,7868,7602,7274,7323,7705,2822,2892,4151,4317,4372,1885,1678,56518,56519,58464,58938,57590,58485,57486,675937926,899897901,899282141,983905886,1028565146,1026359162,1067771073,1029392558,11669,15911,16829,18223,18270
,91606,0,0.1,6915,18613,0.16,6617,22117,,0.1,0.13,0.15,0.07,0.06,767,767,772,723,824,810,858,5245,6853,6382,6286,6341,6606,2345,2404,3494,3820,4177,1592,1434,45552,43415,46834,46609,46449,46903,46681,606374385,809168329,807061460,942037256,993602389,989343964,1027662625,1023782004,13495,18589,20114,21507,21515
,91607,0,0.08,3638,36970,0.15,3153,46005,,0.09,0.12,0.14,0.07,0.06,1133,1132,1092,1307,1043,1041,1078,3403,3572,2883,2970,3025,3241,1407,1434,2090,2448,2531,1092,982,27659,27963,27351,28162,28360,28678,28401,746370494,1038865268,1034499490,1114317492,1189058553,1258651473,1306896500,1329801013,26737,36995,40741,42845,44753
