KPIs,Zip,No_of_Art_Projects, Perc_Unemployment_2010 ,No_Educated_High_School_2010,Per_Capita_Household_Income_2010, Perc_Unemployment_2014 ,No_Educated_High_School_2015,Per_Capita_Household_Income_2015,No_of_Artists_Projects, Perc_Unemployment_2011 , Perc_Unemployment_2012 , Perc_Unemployment_2013 , Perc_Unemployment_2015 , Perc_Unemployment_2016 ,No_Employment_in_Arts_n_Entertainment_2010,No_Employment_in_Arts_n_Entertainment_2011,No_Employment_in_Arts_n_Entertainment_2012,No_Employment_in_Arts_n_Entertainment_2013,No_Employment_in_Arts_n_Entertainment_2014,No_Employment_in_Arts_n_Entertainment_2015,No_Employment_in_Arts_n_Entertainment_2016,No_Educated_High_School_2000,No_Educated_High_School_2011,No_Educated_High_School_2012,No_Educated_High_School_2013,No_Educated_High_School_2014,No_Educated_High_School_2016,No_Unemployed_2010,No_Unemployed_2011,No_Unemployed_2012,No_Unemployed_2013,No_Unemployed_2014,No_Unemployed_2015,No_Unemployed_2016,Population_2010,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Population_2016,Total_Household_Income_2000,Total_Household_Income_2010,Total_Household_Income_2011,Total_Household_Income_2012,Total_Household_Income_2013,Total_Household_Income_2014,Total_Household_Income_2015,Total_Household_Income_2016,Per_Capita_Household_Income_2000,Per_Capita_Household_Income_2011,Per_Capita_Household_Income_2012,Per_Capita_Household_Income_2013,Per_Capita_Household_Income_2014
Population_2016,90044,4,0.13,13055,12659,0.15,12593,14574,,0.13,0.15,0.15,0.07,0.06,535,537,668,741,588,570,616,9277,13048,12570,12108,12145,12924,4954,5086,6137,5758,5998,2385,2185,88452,88337,91365,89671,90891,90875,91765,774938563,1117229301,1110508154,1253190705,1243491363,1272187407,1304607578,1292494049,9000,12571,13716,14088,14227
Total_Household_Income_2000,90045,25,0.05,3099,42590,0.08,2916,48384,5,0.05,0.08,0.08,0.07,0.06,679,678,654,666,670,599,652,4055,3056,2864,2812,2822,2964,1008,1031,1838,1801,1847,1447,1319,38502,36476,37362,38637,39513,39388,39591,1107258676,1555159250,1560056277,1724738393,1742860406,1833822269,1866878317,1986823753,28171,42769,46163,46030,47175
Total_Household_Income_2010,90046,2,0.08,5042,49617,0.11,4570,58881,6,0.09,0.11,0.12,0.07,0.06,3641,3641,3491,3765,3798,3634,3811,6644,4968,4227,4461,4364,4645,2741,2818,3825,3836,3928,2225,2011,49263,49284,49487,50182,50610,51312,51115,1918538271,2447182230,2444664013,2836790652,2848132377,2907867641,2998514660,3189592372,38087,49604,57324,57282,57843
Total_Household_Income_2011,90047,1,0.12,9249,18882,0.17,8168,22741,,0.13,0.15,0.16,0.07,0.06,410,412,407,434,459,443,477,6933,9220,8488,8100,7890,8329,2780,2850,3426,3576,3816,1382,1260,47519,48027,48651,48613,48966,49019,49119,681397457,906337485,903127581,996056668,1058200594,1073772403,1103660158,1103600967,14584,18805,20474,21978,22124
Total_Household_Income_2012,90048,1,0.07,2138,55826,0.1,2172,65093,1,0.07,0.11,0.1,0.07,0.06,1126,1120,1063,1104,955,894,954,2800,2101,1818,1991,2095,2223,971,990,1637,1481,1515,980,904,22058,20852,22142,22575,22683,22847,23159,842449452,1168656336,1166039470,1334839968,1442556324,1427261571,1471198633,1576804469,39189,55920,60285,65135,63503
Total_Household_Income_2013,90049,1,0.05,1971,71282,0.07,1556,100539,,0.05,0.07,0.07,0.07,0.06,975,976,982,1249,1144,1028,1084,2048,1932,1843,1842,1479,1631,1030,1048,1481,1492,1516,1375,1244,36018,34973,36992,36486,36898,37109,37084,2607868642,2500791549,2494343806,3674178342,3636851607,3648758616,3709250725,3984425315,76872,71322,99324,100279,99452
Total_Household_Income_2014,90057,2,0.08,5922,13123,0.15,5635,15768,,0.09,0.12,0.14,0.07,0.06,396,399,554,574,682,669,712,4319,5894,5621,5965,5373,5779,2050,2105,3002,3612,3848,1634,1490,45513,44313,46787,46207,46494,46865,47225,394942728,581963265,588268700,606344535,626720362,664262065,688495247,676979553,8858,13275,12960,14565,15112
Total_Household_Income_2015,90059,1,0.15,5408,9711,0.19,5272,12401,,0.15,0.17,0.18,0.07,0.06,311,314,344,254,265,255,279,3709,5419,5251,5073,5070,5344,2184,2252,2650,2807,3082,956,872,40909,39848,40908,41176,42059,42117,42208,312279537,386614011,384453596,450298384,480868839,494498829,503151743,487021502,8306,9648,11008,12760,12243
Total_Household_Income_2016,90061,1,0.12,4515,12405,0.18,4060,14528,,0.12,0.15,0.17,0.07,0.06,335,340,285,247,213,207,227,2787,4510,4174,4166,3902,4216,1357,1396,1834,2088,2245,757,695,29221,28757,29138,29953,30095,30231,30577,241477956,356817527,354878768,403671638,408139416,422751193,433104395,421279243,9310,12341,13854,14069,14303
Per_Capita_Household_Income_2000,90062,2,0.12,5299,13186,0.16,5521,15018,,0.12,0.16,0.16,0.07,0.06,98,98,121,157,183,176,183,3622,5305,5399,5346,5341,5562,1842,1897,2439,2459,2432,946,854,32153,32053,32885,32800,33065,32973,32664,354824711,422168603,420522658,452641901,483426958,475755031,483525406,461452342,12318,13120,13764,15153,14779
